,SK_ID_CURR
7345,108558
305783,454282
133837,255222
304137,452374
63479,173615
132253,253394
190803,321242
216851,351263
18138,121155
85992,199779
85229,198886
9990,111623
290102,436087
34448,139916
68237,179125
276892,420911
278868,423058
136525,258354
40351,146741
17989,120978
244830,383366
254569,394582
31888,136983
249461,388630
68502,179446
44623,151694
138626,260753
257800,398331
270810,413932
20833,124278
60993,170733
30202,135057
250797,390191
65660,176147
236905,374401
89992,204489
306480,455086
31561,136608
233596,370571
229298,365583
166814,293384
268589,411260
148290,271937
138487,260598
146504,269866
50387,158337
297689,444878
88545,202807
28447,133066
149969,273852
18411,121474
302126,450024
78216,190680
235507,372788
299170,446584
275650,419429
130656,251544
193926,324875
149123,272892
259629,400456
237284,374839
7229,108416
45181,152334
187129,316935
189116,319254
51496,159629
285413,430554
304584,452885
225493,361186
157670,282764
184988,314439
5622,106578
230565,367067
109183,226629
130621,251503
14186,116539
258844,399552
181898,310839
37257,143159
196828,328220
50904,158950
186058,315696
243280,381634
208869,342076
26505,130813
162182,288025
224169,359640
70092,181310
186796,316552
115788,234277
123550,243281
190591,320992
129469,250169
292957,439393
20940,124400
72040,183548
125154,245139
237446,375036
306948,455620
47775,155335
69348,180435
559,100645
137367,259316
290473,436520
243279,381633
98383,214221
7892,109207
53729,162242
67012,177707
206608,339476
92406,207299
59724,169231
61442,171256
302953,450994
81983,195071
88356,202582
173982,301621
260916,401953
192196,322866
299487,446963
178640,307017
165183,291482
183197,312334
293575,440117
279972,424385
219302,354048
66461,177078
300615,448269
195868,327113
7722,109007
103057,219629
167199,293825
63192,173290
193900,324847
53516,161981
233206,370112
192409,323115
239587,377444
169072,295966
104517,221296
25274,129399
152127,276321
193130,323961
230043,366453
124418,244284
94734,210002
25670,129852
210869,344371
122983,242599
231099,367672
151603,275725
248372,387374
155025,279692
18615,121710
67414,178178
24921,128982
225617,361327
127848,248282
58971,168354
115127,233505
205468,338167
288235,433912
246158,384897
53277,161705
43148,149946
26414,130711
248029,386995
261794,403050
3305,103866
54189,162778
242731,380982
228370,364524
30508,135408
240544,378575
184117,313412
42338,149005
203967,336468
305108,453495
145791,269043
220112,354992
123844,243618
171518,298777
20639,124063
124860,244802
100978,217244
231401,368035
86767,200707
136933,258821
188708,318777
274282,417906
141826,264445
39545,145785
258099,398678
259958,400825
272926,416394
251151,390605
109148,226593
191058,321534
110340,227985
211174,344713
92387,207278
193763,324688
241953,380147
271395,414627
106776,223883
235796,373124
268461,411109
46943,154373
250497,389846
283878,428755
217323,351800
234675,371846
183346,312512
195533,326726
170644,297766
210477,343901
148501,272182
43167,149970
286145,431402
127944,248392
135403,257046
221610,356712
129684,250413
268327,410928
194854,325943
33658,138991
41615,148181
49698,157531
82499,195676
42510,149203
191825,322431
152835,277133
224618,360157
290034,436005
73751,185524
306907,455577
131290,252274
273390,416911
175030,302829
257590,398081
224883,360482
83179,196472
169626,296595
236253,373653
170297,297373
192010,322650
21070,124556
23400,127229
276781,420752
28774,133434
36440,142204
154562,279145
34359,139813
170479,297583
178624,306991
159750,285187
269309,412100
74257,186112
306210,454783
167064,293672
223439,358795
12807,114929
37813,143797
248454,387461
123361,243057
145177,268345
291125,437256
293709,440276
174863,302641
192155,322818
18738,121848
145783,269033
227073,363014
72698,184298
3435,104010
29014,133711
89131,203490
72306,183852
81780,194834
131929,253012
63734,173903
253265,393064
40050,146393
241849,380027
56828,165857
58647,167983
249452,388618
4984,105834
93665,208766
196344,327660
134723,256260
14695,117145
290355,436382
236637,374091
202657,334927
26635,130962
177394,305575
284344,429293
214423,348468
76581,188807
248747,387778
68878,179884
12593,114681
208360,341509
205520,338230
264761,406597
267711,410176
114675,232977
80422,193233
266607,408865
265863,407976
170956,298121
155456,280201
20487,123896
124157,243982
160953,286584
138132,260191
87946,202098
185014,314466
244390,382867
80384,193189
90588,205174
305918,454441
40032,146371
239728,377592
245472,384084
74155,185995
255650,395820
245993,384676
56831,165860
85515,199227
160529,286092
160479,286031
30745,135686
243626,382027
307381,456106
305170,453571
235237,372485
144229,267227
113163,231247
279644,423971
271692,414966
239473,377321
206143,338944
306489,455097
278758,422939
168165,294930
245402,384011
160644,286226
148852,272581
31570,136618
137635,259624
82952,196207
121789,241200
138257,260330
66847,177514
299194,446609
252978,392729
177066,305189
125496,245531
192539,323270
248491,387499
236667,374127
3279,103829
122719,242282
1673,101958
215891,350155
221079,356105
202461,334702
63341,173456
70111,181332
221514,356601
185283,314782
53150,161557
239188,377028
269901,412809
32098,137219
138249,260322
120063,239230
295236,442045
111350,229191
143108,265931
85680,199426
215926,350194
129874,250639
274816,418499
24697,128728
12400,114452
273668,417194
297891,445117
6434,107503
92274,207145
142472,265196
17354,120241
179842,308409
226134,361916
109903,227458
25159,129261
292029,438311
112972,231030
32075,137191
155683,280469
262214,403529
263023,404566
83629,196997
112506,230511
129964,250741
210062,343441
180806,309534
201024,333023
118259,237133
250782,390174
83695,197069
37335,143251
301269,449025
264877,406728
82141,195259
281243,425817
132890,254134
158538,283797
87361,201397
283432,428275
66811,177473
258437,399075
191565,322124
7787,109081
276243,420102
23637,127509
138464,260568
186449,316148
161647,287399
154966,279627
262337,403672
276761,420731
215004,349137
203675,336128
290169,436161
150796,274796
112580,230594
156402,281291
29636,134411
100684,216897
142034,264682
290149,436138
176002,303947
43602,150471
127986,248447
228024,364118
124517,244401
159098,284439
18761,121878
83247,196554
31940,137047
251426,390916
233422,370368
95206,210537
202504,334752
289053,434871
222874,358150
116599,235217
120447,239658
142441,265157
77952,190370
16675,119449
155435,280179
71225,182609
151924,276099
134325,255801
2640,103081
212562,346322
301583,449384
291759,438002
135305,256932
193758,324683
16154,118839
210720,344189
304674,452988
127877,248315
184046,313319
255542,395690
268159,410723
121415,240766
140793,263249
264082,405800
84950,198554
243097,381399
112537,230546
162209,288058
51636,159793
223582,358965
244185,382640
75097,187097
275355,419099
129667,250396
46544,153920
302478,450439
206090,338885
263551,405151
210824,344314
52378,160654
241405,379554
37627,143582
199879,331717
48771,156480
145666,268897
266531,408779
288612,434359
197889,329438
297339,444486
48615,156303
85212,198863
14831,117312
105531,222455
203709,336166
95667,211060
222247,357451
127931,248377
1871,102192
126446,246645
5164,106042
214758,348852
133122,254397
81508,194510
268564,411231
26018,130254
53118,161518
204112,336633
263731,405358
56779,165800
8860,110302
80770,193641
185217,314697
162219,288070
268450,411092
297133,444243
176503,304532
130629,251513
175523,303391
234216,371304
242129,380326
205471,338170
20839,124284
81031,193946
276462,420388
196261,327563
1381,101622
173782,301397
73841,185633
108179,225493
189674,319922
4754,105556
121897,241323
204461,337037
4865,105688
260571,401556
237458,375051
282635,427371
73871,185673
190266,320603
56839,165873
212180,345878
261388,402546
306659,455295
262849,404355
128271,248792
276362,420232
150624,274612
195925,327177
63198,173296
43770,150676
231475,368119
84408,197922
289777,435709
271530,414786
182265,311252
71567,182995
5281,106174
97891,213658
288011,433646
185436,314958
151960,276141
76312,188491
129177,249836
259216,399987
30787,135734
107570,224795
70509,181800
110207,227829
191756,322345
2124,102496
204724,337333
260352,401296
104954,221790
284220,429155
166530,293058
240931,378971
79715,192405
92111,206959
249729,388950
114423,232689
115383,233805
164096,290229
80816,193698
204744,337355
199448,331227
224441,359952
211301,344860
3065,103580
105501,222420
115826,234323
288811,434589
86716,200648
1343,101577
76532,188752
146092,269390
250017,389279
187453,317304
11821,113773
161746,287509
274917,418644
176966,305073
51926,160136
203551,335989
21391,124922
295184,441976
26504,130812
135701,257394
81805,194862
166462,292982
163269,289284
222695,357949
297207,444330
14910,117405
19628,122889
282544,427278
86726,200661
80751,193622
151959,276140
126239,246394
272025,415360
52222,160475
213780,347716
26771,131119
77231,189552
45155,152306
173643,301232
149638,273485
97003,212598
303046,451097
24147,128084
250563,389923
215477,349674
39037,145213
26669,130998
272637,416062
241823,379985
147459,270973
55985,164873
199185,330927
240982,379024
182603,311642
221652,356764
181500,310365
111022,228800
146327,269659
500,100577
120256,239442
299049,446438
124212,244041
276897,420916
235432,372703
241933,380126
43482,150339
122457,241978
2224,102609
109598,227106
160755,286352
128431,248975
76539,188759
166415,292926
167007,293609
237900,375539
202345,334568
92105,206953
52232,160486
79489,192146
290939,437040
170135,297187
8920,110381
221542,356634
238093,375741
101765,218151
160384,285925
7097,108263
145219,268392
108588,225954
64532,174833
62974,173046
263251,404813
191729,322312
92199,207061
161514,287238
117957,236781
234234,371325
259567,400391
278846,423032
34217,139650
52298,160559
133954,255357
139373,261601
81875,194945
144271,267280
215165,349323
51813,160001
218514,353157
44165,151162
213495,347391
185449,314974
5994,107018
225713,361439
176380,304374
248997,388070
14857,117343
75950,188078
31618,136675
202220,334420
107253,224439
276072,419928
27388,131832
209291,342573
74673,186595
80940,193845
128091,248571
41933,148550
144733,267825
175672,303571
130804,251712
215920,350186
216545,350912
83528,196880
22367,126034
278416,422587
95699,211095
94033,209195
261283,402413
132330,253482
208992,342229
74694,186620
156693,281617
80829,193712
11804,113756
269253,412039
181033,309797
128734,249318
277191,421212
243359,381719
115509,233952
240449,378479
3391,103959
78330,190805
175996,303940
22075,125708
62822,172868
181735,310642
137568,259550
74254,186108
53613,162101
267786,410260
121515,240876
36453,142219
24224,128176
192646,323404
156248,281122
45057,152196
179031,307463
301738,449570
134933,256503
271520,414774
181288,310104
134368,255850
50636,158631
126791,247045
83273,196581
207247,340216
300608,448262
210301,343707
43490,150348
66988,177676
58212,167481
8356,109736
278565,422739
223458,358817
21261,124774
151596,275718
116218,234774
67552,178333
136371,258177
148257,271899
3292,103845
22028,125656
217918,352479
120524,239742
203855,336337
42629,149346
296270,443243
67868,178702
57393,166510
13546,115786
76132,188291
7119,108287
303172,451250
180586,309287
209571,342893
103168,219748
193029,323844
293615,440168
51664,159826
143454,266339
284534,429527
266482,408723
194222,325207
239859,377741
148759,272472
130818,251729
147159,270621
173610,301189
229467,365777
11477,113364
288185,433856
122159,241626
21962,125585
211781,345418
264905,406758
83532,196885
83920,197334
233144,370045
221411,356478
94840,210119
82155,195273
176774,304848
194882,325979
126122,246254
219402,354169
171720,299014
192724,323497
108202,225519
135261,256881
48294,155929
108511,225869
126862,247126
4161,104865
66432,177040
274423,418090
43948,150894
85177,198824
245093,383672
166711,293266
276694,420661
192691,323454
240877,378914
54928,163642
221159,356196
184076,313363
118186,237044
225505,361199
91138,205840
154427,278985
211522,345116
131782,252839
231407,368043
160787,286390
62300,172249
272598,416023
215299,349475
105632,222568
7377,108598
109029,226453
294037,440652
112019,229954
148738,272450
21209,124717
145486,268694
20099,123445
247984,386949
173585,301158
233668,370655
74912,186877
11553,113462
261733,402987
52661,160989
191734,322317
191302,321814
200703,332650
265843,407956
203996,336503
121864,241289
276045,419899
239853,377730
24462,128458
119206,238226
17654,120584
211630,345245
209360,342649
86166,199990
148120,271742
166137,292607
296131,443088
84593,198143
247274,386123
126536,246750
74458,186349
266552,408806
281553,426175
7108,108275
51837,160032
5407,106328
77475,189828
232327,369093
118984,237969
241460,379609
168110,294867
127596,247982
96418,211932
177390,305570
260471,401434
84657,198217
264691,406524
33059,138311
244078,382529
186145,315797
171407,298652
297930,445162
117533,236285
106170,223184
204349,336905
29475,134224
116772,235413
175111,302921
289075,434893
77903,190317
201946,334093
270463,413464
44961,152082
108905,226313
164825,291069
211815,345457
174892,302672
215290,349466
169403,296344
263142,404700
226813,362725
44478,151531
185281,314779
107103,224264
134945,256520
110669,228384
157807,282917
33090,138347
179204,307657
182980,312083
31959,137069
122352,241858
165953,292389
288077,433723
289207,435045
118,100138
227208,363176
115692,234161
49631,157454
84501,198033
164374,290546
276206,420065
242360,380566
101817,218212
217594,352123
33437,138736
278055,422183
52539,160850
214199,348211
83407,196740
187202,317016
114056,232273
20220,123592
65383,175832
234211,371299
183484,312674
272791,416218
69468,180568
252832,392556
229463,365772
182896,311990
273616,417138
147319,270806
11471,113356
193174,324015
191694,322275
7048,108209
142694,265455
282875,427625
143692,266614
305480,453926
2832,103306
264512,406333
237281,374835
161947,287741
86401,200273
163648,289703
299538,447021
208257,341387
120278,239465
1862,102183
4454,105207
209630,342955
155991,280825
297954,445195
9695,111282
156412,281302
72174,183702
38109,144128
255398,395526
148262,271904
237926,375567
52938,161313
173472,301031
243779,382214
138226,260297
55754,164600
123558,243293
34343,139797
255598,395758
290495,436548
214547,348611
43346,150180
130012,250795
117431,236172
295769,442668
244581,383081
284923,429976
167725,294427
273405,416926
11879,113846
246912,385731
304964,453325
278121,422251
128704,249284
93233,208265
79672,192356
55130,163875
295709,442598
272350,415769
131057,252007
47769,155328
222890,358169
248026,386992
294878,441623
206544,339399
219934,354789
98078,213872
32011,137123
48733,156438
135963,257705
177921,306189
119982,239131
221504,356586
169150,296058
293232,439712
216230,350540
2546,102968
63402,173528
130442,251293
72494,184068
4347,105085
152045,276230
25682,129866
301110,448845
144125,267112
286869,432258
92024,206863
209580,342903
274577,418248
138215,260285
223442,358798
272095,415433
299345,446791
249363,388517
107325,224521
164901,291159
16361,119082
89608,204035
288994,434804
67090,177804
8349,109728
225985,361750
201252,333279
64618,174941
180613,309317
106117,223124
133841,255227
205531,338242
198970,330681
218793,353476
207548,340566
131947,253033
260086,400976
219821,354660
148581,272273
271804,415135
28511,133138
121764,241169
139469,261709
271316,414530
295305,442127
255941,396157
3592,104196
256588,396920
292856,439273
282428,427118
107817,225082
300289,447892
169461,296409
292807,439210
124328,244180
241114,379198
142013,264659
118890,237864
77227,189546
303837,452027
35348,140943
255226,395322
157690,282785
290552,436612
183722,312945
127131,247433
46279,153613
65545,176015
110423,228087
190417,320780
104687,221478
75168,187177
11277,113138
115453,233886
269793,412678
253798,393674
120479,239694
56707,165716
88172,202361
174995,302788
213509,347406
60862,170579
194296,325296
6057,107087
131006,251946
265814,407910
150447,274411
67790,178616
199948,331793
87696,201794
293085,439540
292734,439130
127464,247824
122661,242212
88279,202489
87953,202105
59499,168972
304265,452520
89597,204022
172549,299950
257860,398407
108567,225932
157984,283133
84325,197829
81242,194201
52213,160462
99066,215020
241615,379771
85187,198834
269905,412813
231104,367680
88422,202662
110043,227629
48645,156334
303280,451380
277490,421529
191177,321668
175073,302874
45909,153189
197377,328843
145691,268926
195024,326143
61707,171564
126927,247198
40667,147098
70196,181432
259594,400419
70902,182236
15795,118434
267850,410347
109017,226440
293091,439546
85767,199520
134575,256093
237375,374954
47529,155050
229169,365434
267621,410062
244403,382898
76269,188444
5856,106856
51134,159210
260530,401509
130376,251216
117379,236118
238711,376479
223024,358324
280054,424467
106377,223413
252396,392045
56240,165170
51203,159289
105011,221855
236265,373665
233802,370815
293292,439787
209912,343265
62814,172859
6566,107658
287038,432467
216427,350775
205841,338592
103737,220397
226701,362591
41627,148195
186754,316505
249831,389064
60356,169976
225385,361061
5468,106400
287468,432989
152846,277145
244347,382809
150617,274603
81835,194899
115758,234245
75952,188080
68808,179805
109791,227331
42702,149437
54731,163414
288194,433866
53192,161602
167819,294531
194013,324969
29883,134692
146344,269682
89736,204184
25202,129309
95520,210902
45382,152566
292181,438481
149773,273636
302960,451003
31182,136183
190115,320436
257647,398152
73004,184650
15677,118290
87917,202061
233984,371031
257623,398125
279809,424166
56624,165619
13386,115607
96137,211614
155945,280767
44186,151188
283114,427907
258999,399729
13756,116034
9193,110689
271065,414234
74659,186580
157892,283022
155426,280169
213663,347585
298535,445857
224643,360187
103262,219855
31581,136631
46008,153308
6795,107925
83877,197279
294081,440700
209986,343349
12060,114062
131151,252111
92332,207216
50948,158999
103151,219730
112003,229938
191852,322464
34251,139690
79073,191658
95,100113
187089,316886
176275,304255
149126,272895
88057,202225
306596,455224
115223,233618
16217,118913
38666,144787
301730,449561
278003,422130
210926,344440
112526,230535
220066,354940
220810,355795
271831,415163
283452,428295
141428,263975
163173,289177
159728,285161
155608,280373
1389,101630
223360,358702
108087,225393
283265,428062
90354,204900
51118,159192
156057,280906
48003,155598
41509,148057
287814,433402
49265,157031
100261,216394
251812,391366
18312,121362
7072,108235
190733,321159
188107,318068
65806,176308
202820,335116
136937,258825
36121,141835
81499,194500
87277,201295
170964,298130
271558,414817
45502,152698
274186,417806
120896,240173
38925,145083
245950,384630
108298,225627
286503,431827
13438,115665
37512,143454
108726,226104
274226,417846
115635,234095
265828,407932
198542,330197
196109,327398
41630,148199
61183,170951
102080,218507
229670,366014
254660,394681
208663,341850
198606,330268
263709,405330
177687,305912
167161,293781
279062,423298
184843,314257
290982,437087
174039,301687
54384,163000
26167,130432
32365,137520
169686,296663
184860,314277
49449,157245
51393,159507
31620,136677
286365,431658
261113,402196
8083,109425
221944,357103
142909,265695
260481,401449
5724,106692
253687,393545
108461,225812
176142,304107
94094,209265
35728,141380
143879,266832
199023,330739
198410,330044
294604,441308
174017,301662
108714,226092
206262,339075
128437,248983
242552,380763
305151,453545
56252,165185
100141,216253
69035,180069
188478,318515
59495,168966
173177,300686
277296,421320
106918,224043
72880,184512
262153,403459
55959,164844
162464,288346
54401,163019
84186,197662
65302,175739
303407,451526
153101,277461
46983,154420
44214,151219
141472,264028
76370,188556
31785,136869
45194,152347
8281,109655
141288,263814
183734,312960
139420,261651
145059,268202
192568,323307
233064,369949
243947,382385
225872,361623
65119,175518
72749,184363
243692,382097
278358,422495
159087,284426
57468,166603
271152,414343
232528,369326
4023,104705
206819,339719
48053,155655
150451,274415
182792,311866
235979,373336
38528,144620
82862,196107
282714,427451
176159,304125
243462,381859
190660,321069
153308,277698
40145,146501
215653,349871
99701,215747
295797,442701
221287,356341
91277,206002
248127,387094
74717,186645
87051,201031
279516,423834
180905,309651
106391,223427
278417,422588
11925,113901
170680,297808
97313,212980
68361,179284
106793,223901
65149,175553
142396,265102
208333,341480
10201,111876
252951,392696
296148,443108
301753,449590
150099,274002
219232,353965
228698,364895
95093,210411
196444,327776
64621,174945
8226,109591
153072,277426
226049,361820
86589,200484
188815,318903
66264,176851
289629,435548
180772,309497
198608,330271
294806,441537
297850,445069
216983,351415
137912,259941
123031,242660
71602,183030
254012,393927
255456,395591
230886,367426
161956,287751
137454,259417
109315,226781
178364,306686
209077,342331
135940,257680
4393,105135
160505,286066
205298,337974
154251,278772
67699,178511
294781,441511
293955,440559
213856,347810
28492,133117
83304,196620
121369,240714
265257,407197
233104,369998
176923,305023
304631,452939
98212,214030
129758,250500
107162,224330
280017,424430
294277,440929
111855,229769
263056,404612
133565,254907
269944,412853
181504,310369
26925,131295
158116,283297
71008,182357
42514,149207
102029,218451
174204,301879
306366,454956
176751,304821
243945,382383
282140,426779
134490,255997
220544,355490
53529,161996
278197,422328
107040,224186
221290,356344
180518,309207
218640,353306
79233,191851
151415,275515
129235,249902
231794,368479
148745,272457
24320,128289
64185,174430
38736,144866
254768,394805
109936,227503
159105,284447
263206,404766
117989,236818
291963,438235
263490,405077
274069,417685
99779,215834
218435,353073
87833,201960
145970,269252
282018,426655
24508,128509
134661,256189
208741,341937
6561,107651
86778,200719
262125,403425
147689,271241
199243,330992
259936,400799
148278,271924
278951,423185
89967,204463
176519,304550
254942,395001
131193,252160
220978,355988
258077,398650
130270,251099
143544,266447
259007,399739
163018,288987
241542,379694
139499,261743
224410,359919
270467,413472
22476,126153
185150,314622
290075,436053
273838,417400
61986,171888
46726,154125
224987,360600
149945,273827
210479,343903
258487,399133
213779,347715
48363,156003
60614,170281
288192,433864
103818,220491
290129,436117
171160,298364
217027,351467
284153,429076
45934,153220
158800,284101
196339,327655
286857,432243
99535,215558
203425,335833
268901,411615
36456,142225
151996,276179
214883,348995
82063,195167
239878,377793
288205,433878
80984,193892
261464,402647
1863,102184
39404,145630
161197,286869
85027,198641
31226,136232
81135,194072
76836,189101
36293,142026
126233,246387
65083,175476
81078,194005
290414,436451
172150,299505
113861,232053
137576,259558
197684,329200
24305,128270
301656,449466
127328,247662
202318,334536
230283,366737
212282,346002
287,100332
87805,201924
64417,174698
199786,331608
229315,365602
240431,378461
103309,219907
113520,231653
155961,280787
50922,158970
52027,160253
208029,341118
139248,261459
69576,180695
262628,404071
300486,448120
40087,146435
206927,339843
85249,198909
90580,205164
283883,428761
123594,243337
75539,187599
77225,189544
264522,406344
293295,439790
144116,267100
199798,331624
15381,117951
489,100564
272642,416067
303736,451912
250539,389899
108061,225357
247623,386529
225815,361550
18148,121168
120280,239467
130683,251574
21539,125087
12145,114161
161790,287559
126551,246769
180248,308884
143001,265804
294918,441668
180090,308698
24564,128579
112113,230064
245261,383852
54922,163636
51793,159980
242050,380247
133875,255265
140028,262371
9774,111378
232592,369401
186141,315792
16722,119503
82112,195224
100066,216168
90217,204741
11382,113253
27206,131618
39403,145629
285022,430092
123529,243255
7195,108373
187101,316898
300270,447867
73957,185768
103332,219934
13246,115444
46724,154123
67190,177922
1089,101265
263924,405587
139507,261753
245443,384054
217366,351856
189783,320050
163838,289922
138040,260085
198524,330174
26495,130803
303032,451082
166893,293476
275288,419028
216801,351202
111607,229485
194993,326111
51770,159952
211882,345536
128960,249583
217419,351918
302190,450100
223501,358866
119410,238472
83114,196399
217456,351960
273645,417168
128660,249237
34128,139541
257789,398319
106417,223455
140065,262414
150263,274197
119775,238892
164852,291100
131962,253049
79591,192262
41455,147993
117078,235761
57339,166454
56278,165218
58700,168048
151836,275999
205889,338649
65411,175862
198572,330232
208428,341588
164582,290787
278552,422725
82841,196086
179966,308555
160768,286368
283185,427979
41255,147765
149689,273543
30879,135846
209299,342581
304553,452849
304832,453175
1108,101290
24754,128791
114086,232312
115176,233562
51315,159416
136129,257899
128042,248515
21658,125231
242201,380399
235512,372795
77144,189448
272252,415635
161850,287628
127782,248200
13252,115452
112576,230588
80227,193007
99657,215698
132022,253119
233639,370623
195184,326331
211568,345170
137395,259349
13725,115995
211247,344799
34801,140323
62951,173022
60282,169896
280883,425420
109186,226632
303735,451911
116982,235654
142889,265674
266843,409147
47859,155429
96761,212331
19482,122719
122580,242115
156726,281659
33150,138409
192195,322865
40536,146946
237564,375167
221912,357068
